entani論文のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_2,entani論文のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_Ŵ,Trial,解の非唯一性考慮のPartialIncorporation_wᴸ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_1,entani論文のPartialIncorporation_wᵁ_1,解の非唯一性考慮のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_1,解の非唯一性考慮のPartialIncorporation_wᴸ_1,entani論文のPartialIncorporation_Ŵ
"[0.20000001000000012, 0.2222222247222221, 0.19999998499999988, 0.13333336333333315, 0.20000001000000012]","[0.22222221347222246, 0.2222222247222221, 0.19999998499999988, 0.17777777027777786, 0.22222221347222246]","[0.19999998499999988, 0.20000001000000012, 0.13333333166666664, 0.13333333166666664, 0.19999998499999988]","[0.20000001000000012, 0.2666666633333333, 0.19999998499999988, 0.19999998499999988, 0.20000001000000012]","[0.2000000200000003, 0.22222222422222226, 0.2000000200000003, 0.13333332533333309, 0.2000000200000003]","[[0.22222221522222219, 0.22222222422222226, 0.2000000200000003, 0.13333332533333309, 0.22222221522222219], [0.2000000200000003, 0.2499999499999993, 0.2000000200000003, 0.1499999899999998, 0.2000000200000003]]",11,"[0.2000000200000003, 0.2000000200000003, 0.1499999899999998, 0.1499999899999998, 0.2000000200000003]","[0.2000000200000003, 0.2999999799999996, 0.2000000200000003, 0.2000000200000003, 0.2000000200000003]","[0.22222222422222224, 0.22222222422222224, 0.22222221822222213, 0.22222221522222219, 0.22222222422222226]","[0.2222222247222222, 0.2222222247222221, 0.22222221722222238, 0.22222221347222246, 0.2222222247222221]","[0.22222221522222219, 0.2499999499999993, 0.2000000200000003, 0.1499999899999998, 0.22222221522222219]","[0.22222221347222246, 0.2222222247222221, 0.11111111236111106, 0.11111110861111119, 0.22222221347222246]","[0.22222221522222219, 0.22222222422222224, 0.11111111211111112, 0.11111110911111106, 0.22222221522222219]","[[0.22222221347222246, 0.2222222247222221, 0.19999998499999988, 0.13333336333333315, 0.22222221347222246], [0.20000001000000012, 0.2222222247222221, 0.19999998499999988, 0.17777777027777786, 0.20000001000000012]]"
"[0.20000001599999961, 0.2727272427272727, 0.15151517151515154, 0.10303032703030351, 0.20000001599999961]","[0.2727272427272727, 0.2727272427272727, 0.15151517151515154, 0.17575755375757646, 0.20000001599999961]","[0.2727272427272727, 0.2727272427272727, 0.0909090809090909, 0.0909090809090909, 0.15151517151515154]","[0.2727272427272727, 0.2727272427272727, 0.15151517151515154, 0.15151517151515154, 0.2727272427272727]","[0.20000005500000642, 0.27272740772726894, 0.15151511651515245, 0.10303017803029846, 0.20000005500000642]","[[0.20000005500000642, 0.27272740772726894, 0.16363633363636015, 0.163636148636358, 0.20000005500000642], [0.2727272427272736, 0.27272740772726894, 0.15151511651515245, 0.10303017803029846, 0.20000005500000642]]",12,"[0.2727272427272736, 0.2727272427272736, 0.09090913590908965, 0.09090913590908965, 0.15151511651515245]","[0.2727272427272736, 0.27272740772726894, 0.15151511651515245, 0.15151511651515245, 0.2727272427272736]","[0.20000005500000642, 0.3272726672727203, 0.20000005500000642, 0.20000005500000642, 0.20000005500000642]","[0.20000001599999961, 0.2999999640000009, 0.2000000159999996, 0.20000001599999961, 0.20000001599999961]","[0.2727272427272736, 0.27272740772726894, 0.16363633363636015, 0.163636148636358, 0.20000005500000642]","[0.20000001599999961, 0.20000001599999961, 0.14999998200000045, 0.0999999880000003, 0.20000001599999961]","[0.20000005500000642, 0.20000005500000642, 0.16363633363636015, 0.10909088909090676, 0.20000005500000642]","[[0.20000001599999961, 0.2727272427272727, 0.15151517151515154, 0.17575755375757646, 0.20000001599999961], [0.2727272427272727, 0.2727272427272727, 0.15151517151515154, 0.10303032703030351, 0.20000001599999961]]"
"[0.2222222322222215, 0.20634920384920505, 0.2222222097222231, 0.1269841444841273, 0.1428571578571432]","[0.2857142857142857, 0.20634920384920505, 0.2222222097222231, 0.14285714285714288, 0.2222222097222231]","[0.2222222097222231, 0.11111111611111076, 0.2222222097222231, 0.11111111611111077, 0.2222222097222231]","[0.2222222322222215, 0.22222223222222154, 0.2222222097222231, 0.2222222322222215, 0.2222222097222231]","[0.2222222222222223, 0.20634919134920668, 0.22222222222222218, 0.12698415098412658, 0.14285715785714256]","[[0.2857142857142857, 0.20634919134920668, 0.22222222222222218, 0.14285714285714285, 0.14285715785714256], [0.2222222222222223, 0.20634919134920668, 0.22222222222222218, 0.12698415098412658, 0.22222221322222224]]",13,"[0.22222222222222218, 0.11111111111111115, 0.22222222222222218, 0.11111111111111109, 0.22222221322222224]","[0.2222222222222223, 0.22222222222222218, 0.22222222222222218, 0.22222222222222218, 0.22222222222222218]","[0.2857142857142857, 0.28571427571428587, 0.2857142857142857, 0.14285714285714285, 0.14285715785714256]","[0.2857142857142857, 0.2857142757142855, 0.28571428571428575, 0.14285714285714288, 0.1428571578571432]","[0.2857142857142857, 0.20634919134920668, 0.22222222222222218, 0.14285714285714285, 0.22222221322222224]","[0.2857142857142857, 0.14285714285714288, 0.14285713785714274, 0.14285714285714288, 0.14285714285714285]","[0.2857142857142857, 0.14285714285714285, 0.14285713785714294, 0.14285714285714285, 0.14285714285714285]","[[0.2857142857142857, 0.20634920384920505, 0.2222222097222231, 0.14285714285714288, 0.1428571578571432], [0.2222222322222215, 0.20634920384920505, 0.2222222097222231, 0.1269841444841273, 0.2222222097222231]]"
"[0.22222223222222226, 0.21052638245614225, 0.11988305712614908, 0.21052625578947207, 0.22222221936507935]","[0.2368420852631573, 0.22222221936507935, 0.11988305712614908, 0.21345027192146993, 0.22222221936507935]","[0.2368420852631573, 0.11842104263157865, 0.10526319122807112, 0.07894736175438577, 0.21052625578947207]","[0.2368420852631573, 0.21052638245614225, 0.2368420852631573, 0.21052625578947207, 0.2368420852631573]","[0.2222222334722218, 0.2222222222222222, 0.2222222109722226, 0.09401713115466848, 0.2222222222222222]","[[0.2222222334722218, 0.2222222222222222, 0.2222222109722226, 0.1111111111111111, 0.2222222222222222], [0.2307692418639057, 0.2222222222222222, 0.2222222109722226, 0.09401713115466848, 0.230769193786981]]",14,"[0.2307692418639057, 0.11538462093195286, 0.1153845968934905, 0.0769230806213019, 0.230769193786981]","[0.2307692418639057, 0.230769193786981, 0.2307692418639057, 0.230769193786981, 0.2307692418639057]","[0.2222222334722218, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.22222223222222226, 0.22222221936507935, 0.22222221936507935, 0.22222221936507935, 0.22222221936507935]","[0.2307692418639057, 0.2222222222222222, 0.2222222109722226, 0.1111111111111111, 0.230769193786981]","[0.22222221936507935, 0.22222221936507935, 0.11111110968253968, 0.11111110968253968, 0.22222221936507935]","[0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222]","[[0.22222223222222226, 0.22222221936507935, 0.11988305712614908, 0.21345027192146993, 0.22222221936507935], [0.2368420852631573, 0.21052638245614225, 0.11988305712614908, 0.21052625578947207, 0.22222221936507935]]"
"[0.22222230972222085, 0.18181820848484892, 0.14141403391414242, 0.18181820848484892, 0.22222230972222085]","[0.27272723939393884, 0.22222230972222085, 0.14141403391414242, 0.19191903691919499, 0.22222230972222085]","[0.27272723939393884, 0.13636361969696942, 0.09090910424242446, 0.09090910424242446, 0.18181820848484892]","[0.27272723939393884, 0.18181820848484892, 0.18181820848484892, 0.18181820848484892, 0.27272723939393884]","[0.22222230972221985, 0.16666668666666415, 0.16666668666666415, 0.11111106361110856, 0.22222230972221985]","[[0.22222230972221985, 0.22222230972221985, 0.16666668666666415, 0.16666638416667628, 0.22222230972221985], [0.3333332533333434, 0.16666668666666415, 0.16666668666666415, 0.11111106361110856, 0.22222230972221985]]",15,"[0.3333332533333434, 0.1666666266666717, 0.08333334333333207, 0.08333334333333207, 0.16666668666666415]","[0.3333332533333434, 0.16666668666666415, 0.16666668666666415, 0.16666668666666415, 0.3333332533333434]","[0.22222230972221985, 0.26666654666666995, 0.22222219722222292, 0.22222219722222292, 0.22222230972221985]","[0.22222230972222085, 0.2666665466666686, 0.22222219722222258, 0.22222219722222258, 0.22222230972222085]","[0.3333332533333434, 0.22222230972221985, 0.16666668666666415, 0.16666638416667628, 0.22222230972221985]","[0.22222219722222258, 0.22222230972222085, 0.06666663666666715, 0.11111109861111129, 0.22222219722222258]","[0.22222219722222292, 0.22222230972221985, 0.06666663666666749, 0.11111109861111146, 0.22222219722222292]","[[0.22222230972222085, 0.22222230972222085, 0.14141403391414242, 0.19191903691919499, 0.22222230972222085], [0.27272723939393884, 0.18181820848484892, 0.14141403391414242, 0.18181820848484892, 0.22222230972222085]]"
"[0.20000001583333415, 0.20000000666666695, 0.20000000666666704, 0.199999964166665, 0.20000000666666687]","[0.20000001583333415, 0.20000000666666695, 0.20000000666666704, 0.199999964166665, 0.20000000666666687]","[0.20000000666666687, 0.1999999983333333, 0.1999999983333333, 0.13333332666666645, 0.1999999983333333]","[0.2666666533333329, 0.20000000666666695, 0.20000000666666687, 0.1999999983333333, 0.20000000666666687]","[0.2000000068599997, 0.2000000068599997, 0.19999999728666673, 0.1999999821333343, 0.2000000068599997]","[[0.2000000068599997, 0.2000000068599997, 0.19999999728666673, 0.1999999821333343, 0.2000000068599997], [0.2000000068599997, 0.2000000068599997, 0.19999999728666673, 0.19999998213333414, 0.2000000068599997]]",16,"[0.19999999728666673, 0.19999999728666673, 0.19999999728666673, 0.13333333285555557, 0.19999999728666673]","[0.26666666571111114, 0.2000000068599997, 0.19999999728666673, 0.19999999728666673, 0.19999999728666673]","[0.2000000068599997, 0.3199999835360007, 0.2000000068599997, 0.19999997256000118, 0.2000000068599997]","[0.20000001583333415, 0.3199999766666656, 0.20000000666666695, 0.199999964166665, 0.20000000666666695]","[0.2000000068599997, 0.2000000068599997, 0.19999999728666673, 0.1999999821333343, 0.2000000068599997]","[0.20000000666666695, 0.20000000666666695, 0.1599999883333328, 0.0799999941666664, 0.199999964166665]","[0.2000000068599997, 0.2000000068599997, 0.15999999176800034, 0.07999999588400017, 0.19999997256000118]","[[0.20000001583333415, 0.20000000666666695, 0.20000000666666704, 0.199999964166665, 0.20000000666666687], [0.20000001583333415, 0.20000000666666695, 0.20000000666666687, 0.199999964166665, 0.20000000666666687]]"
"[0.22222228888888768, 0.22222222888888876, 0.12393166726495458, 0.19230766230769397, 0.22222222888888876]","[0.2307692207692313, 0.2307692207692313, 0.12393166726495458, 0.20940158606838022, 0.22222222888888876]","[0.22222216888888988, 0.22222222888888876, 0.11111111444444438, 0.11111108444444494, 0.11111114444444384]","[0.22222228888888768, 0.22222222888888876, 0.22222216888888988, 0.22222216888888988, 0.22222222888888876]","[0.23076923076923073, 0.23076923076923075, 0.19230773399037976, 0.1153845737019279, 0.23076923076923075]","[[0.23076923076923073, 0.23076923076923075, 0.19230773399037976, 0.1153845737019279, 0.23076923076923075], [0.23076923076923075, 0.23076923076923075, 0.19230773399037976, 0.1153845737019279, 0.23076923076923075]]",17,"[0.2307691474038558, 0.23076923076923075, 0.11538461538461538, 0.1153845737019279, 0.11538461538461538]","[0.23076923076923075, 0.23076923076923075, 0.2307691474038558, 0.2307691474038558, 0.23076923076923075]","[0.23076923076923073, 0.23076923076923075, 0.23076923076923075, 0.21153842439560586, 0.23076923076923075]","[0.2307692207692313, 0.23076926410256227, 0.2307692207692313, 0.19230766230769397, 0.2307692207692313]","[0.23076923076923073, 0.23076923076923075, 0.19230773399037976, 0.1153845737019279, 0.23076923076923075]","[0.2307692207692313, 0.2307692207692313, 0.11538463205128113, 0.07692307358974376, 0.19230766230769397]","[0.23076923076923073, 0.23076923076923075, 0.11538461538461538, 0.07692307692307691, 0.21153842439560586]","[[0.2307692207692313, 0.2307692207692313, 0.12393166726495458, 0.19230766230769397, 0.22222222888888876], [0.22222228888888768, 0.22222222888888876, 0.12393166726495458, 0.20940158606838022, 0.22222222888888876]]"
"[0.20000001000000003, 0.22222221222222457, 0.19999998499999994, 0.1333333783333263, 0.20000001000000003]","[0.22222221222222455, 0.22222221222222457, 0.19999998499999994, 0.17777778277777542, 0.22222221222222455]","[0.22222221222222455, 0.22222221222222455, 0.11111112111110877, 0.11111111111111109, 0.22222221222222455]","[0.22222224222221754, 0.22222221222222457, 0.22222222222222218, 0.22222221222222455, 0.22222221222222455]","[0.2000000200000003, 0.22222221472222203, 0.2000000200000003, 0.1333333358333335, 0.2000000200000003]","[[0.2000000200000003, 0.22222221472222203, 0.2000000200000003, 0.1777777252777771, 0.2000000200000003], [0.22222221472222203, 0.22222221472222203, 0.2000000200000003, 0.1333333358333335, 0.22222221472222203]]",18,"[0.22222221472222203, 0.22222221472222203, 0.1111111186111113, 0.11111111111111112, 0.22222221472222203]","[0.2222222372222226, 0.22222221472222203, 0.22222222222222224, 0.22222221472222203, 0.22222221472222203]","[0.2000000200000003, 0.29999997999999956, 0.2000000200000003, 0.2000000200000003, 0.2000000200000003]","[0.20000001000000003, 0.2666666633333334, 0.19999998499999994, 0.19999998499999994, 0.20000001000000003]","[0.22222221472222203, 0.22222221472222203, 0.2000000200000003, 0.1777777252777771, 0.22222221472222203]","[0.19999998499999994, 0.20000001000000003, 0.1333333316666667, 0.1333333316666667, 0.19999998499999994]","[0.2000000200000003, 0.2000000200000003, 0.14999998999999978, 0.14999998999999978, 0.2000000200000003]","[[0.20000001000000003, 0.22222221222222457, 0.19999998499999994, 0.17777778277777542, 0.20000001000000003], [0.22222221222222455, 0.22222221222222457, 0.19999998499999994, 0.1333333783333263, 0.22222221222222455]]"
"[0.22222223722222306, 0.2222222179365077, 0.2222222179365077, 0.08496747883287797, 0.22222221793650765]","[0.2352940426470533, 0.2222222179365077, 0.2352940426470533, 0.11111110896825385, 0.22222221793650765]","[0.2352940426470533, 0.17647063823529777, 0.2352940426470533, 0.05882357441176801, 0.17647063823529777]","[0.2352940426470533, 0.2352940426470533, 0.23529429764707205, 0.17647063823529777, 0.2352940426470533]","[0.2222222276767676, 0.2222222276767676, 0.2222222276767676, 0.08496748389779968, 0.22222220313131333]","[[0.2222222276767676, 0.2222222276767676, 0.2222222276767676, 0.1111111138383838, 0.22222220313131333], [0.23529404264705964, 0.2222222276767676, 0.23529404264705964, 0.08496748389779968, 0.22222220313131333]]",19,"[0.23529404264705964, 0.17647063823529355, 0.23529404264705964, 0.0588235744117642, 0.17647063823529355]","[0.23529404264705964, 0.23529404264705964, 0.2352942976470568, 0.17647063823529355, 0.23529404264705964]","[0.2222222276767676, 0.2222222276767676, 0.2222222276767676, 0.18518518154882155, 0.2222222276767676]","[0.22222223722222306, 0.2222222179365077, 0.2222222179365077, 0.18518518804232822, 0.2222222179365077]","[0.23529404264705964, 0.2222222276767676, 0.23529404264705964, 0.1111111138383838, 0.22222220313131333]","[0.18518518804232822, 0.2222222179365077, 0.2222222179365077, 0.11111110896825385, 0.18518518804232822]","[0.18518518154882155, 0.2222222276767676, 0.2222222276767676, 0.1111111138383838, 0.18518518154882155]","[[0.22222223722222306, 0.2222222179365077, 0.2222222179365077, 0.11111110896825385, 0.22222221793650765], [0.2352940426470533, 0.2222222179365077, 0.2352940426470533, 0.08496747883287797, 0.22222221793650765]]"
"[0.22222223722222323, 0.22222221793650765, 0.1666666930952393, 0.11111110896825382, 0.22222221793650765]","[0.24999998999999962, 0.24999998999999962, 0.22222221793650765, 0.11111110896825382, 0.22222221793650765]","[0.24999998999999962, 0.24999998999999962, 0.08333333172619038, 0.08333334654761965, 0.1666666930952393]","[0.24999998999999962, 0.24999999517857116, 0.1666666930952393, 0.1666666930952393, 0.24999998999999962]","[0.2222222276767677, 0.2222222276767677, 0.1481482681481129, 0.07407433316491274, 0.22222220313131302]","[[0.2222222276767677, 0.2222222276767677, 0.2222222276767677, 0.11111111383838385, 0.22222220313131302], [0.2777775977778306, 0.2777775977778306, 0.1481482681481129, 0.07407433316491274, 0.22222220313131302]]",20,"[0.2777775977778306, 0.2777775977778306, 0.0925925325926102, 0.07407413407405646, 0.1481482681481129]","[0.2777775977778306, 0.2777775977778306, 0.1481482681481129, 0.1481482681481129, 0.2777775977778306]","[0.2222222276767677, 0.2222222276767677, 0.2222222276767677, 0.18518518154882146, 0.2222222276767677]","[0.22222223722222323, 0.22222221793650765, 0.22222221793650765, 0.18518518804232822, 0.22222221793650765]","[0.2777775977778306, 0.2777775977778306, 0.2222222276767677, 0.11111111383838385, 0.22222220313131302]","[0.22222221793650765, 0.18518518804232822, 0.22222221793650765, 0.11111110896825382, 0.18518518804232822]","[0.2222222276767677, 0.18518518154882146, 0.2222222276767677, 0.11111111383838385, 0.18518518154882146]","[[0.22222223722222323, 0.22222221793650765, 0.22222221793650765, 0.11111110896825382, 0.22222221793650765], [0.24999998999999962, 0.24999998999999962, 0.1666666930952393, 0.11111110896825382, 0.22222221793650765]]"
"[0.20000001600000086, 0.22222221422222127, 0.20000001600000086, 0.13333335933333756, 0.20000001600000086]","[0.22222221422222127, 0.22222221422222127, 0.20000001600000086, 0.17777773777777625, 0.22222219622221911]","[0.22222221422222127, 0.22222221422222127, 0.11111112511111282, 0.11111110711111064, 0.22222219622221911]","[0.22222221422222127, 0.22222225022222564, 0.22222221422222127, 0.22222219622221911, 0.22222221422222127]","[0.21052633246710553, 0.22222223222222226, 0.21052633246710553, 0.12280701586622778, 0.21052633246710553]","[[0.21052633246710553, 0.22222223222222226, 0.21052633246710553, 0.14619877037646117, 0.21052633246710553], [0.22222223222222226, 0.22222223222222226, 0.21052633246710553, 0.12280701586622778, 0.22222218722222203]]",21,"[0.22222223222222226, 0.22222223222222226, 0.11111111611111113, 0.11111111611111113, 0.22222218722222203]","[0.22222223222222226, 0.22222223222222226, 0.22222223222222226, 0.22222218722222203, 0.22222223222222226]","[0.21052633246710553, 0.3157894736842105, 0.21052633246710553, 0.2105262991118419, 0.21052633246710553]","[0.20000001600000086, 0.2999999639999981, 0.20000001600000086, 0.19999993599999663, 0.20000001600000086]","[0.22222223222222226, 0.22222223222222226, 0.21052633246710553, 0.14619877037646117, 0.22222218722222203]","[0.20000001600000086, 0.20000001600000086, 0.14999998199999906, 0.09999998799999937, 0.19999993599999663]","[0.21052633246710553, 0.21052633246710553, 0.15789473684210525, 0.10526315789473684, 0.2105262991118419]","[[0.20000001600000086, 0.22222221422222127, 0.20000001600000086, 0.17777773777777625, 0.20000001600000086], [0.22222221422222127, 0.22222221422222127, 0.20000001600000086, 0.13333335933333756, 0.22222219622221911]]"
"[0.22222221422222216, 0.22222225022222242, 0.22222221422222224, 0.07555559822222341, 0.22222221422222216]","[0.2399999866666661, 0.2399999866666661, 0.22222221422222224, 0.11111110711111108, 0.22222221422222216]","[0.2399999866666661, 0.2399999866666661, 0.12000002111111197, 0.039999997777777685, 0.15999996333333188]","[0.2399999866666661, 0.24000004222222393, 0.2399999866666661, 0.15999996333333188, 0.2399999866666661]","[0.22222221888888885, 0.2222222488888892, 0.2222222038888887, 0.07555560388888627, 0.22222221888888885]","[[0.22222221888888885, 0.2222222488888892, 0.2222222038888887, 0.11111110944444443, 0.22222221888888885], [0.23999998666666814, 0.23999998666666814, 0.2222222038888887, 0.07555560388888627, 0.22222221888888885]]",22,"[0.23999998666666814, 0.23999998666666814, 0.12000002111110873, 0.039999997777778025, 0.20000000277777744]","[0.23999998666666814, 0.24000004222221746, 0.23999998666666814, 0.20000000277777744, 0.23999998666666814]","[0.22222221888888885, 0.2222222488888892, 0.22222221888888885, 0.22222221888888885, 0.22222221888888885]","[0.22222221422222216, 0.22222225022222242, 0.22222221422222216, 0.22222221422222216, 0.22222221422222216]","[0.23999998666666814, 0.23999998666666814, 0.2222222038888887, 0.11111110944444443, 0.22222221888888885]","[0.22222221422222216, 0.22222221422222216, 0.11111112511111121, 0.11111110711111108, 0.22222221422222216]","[0.22222221888888885, 0.22222221888888885, 0.1111111244444446, 0.11111110944444443, 0.22222221888888885]","[[0.22222221422222216, 0.22222225022222242, 0.22222221422222224, 0.11111110711111108, 0.22222221422222216], [0.2399999866666661, 0.2399999866666661, 0.22222221422222224, 0.07555559822222341, 0.22222221422222216]]"
"[0.22222221422222127, 0.2000000399999961, 0.2000000399999961, 0.13333333533334224, 0.2000000399999961]","[0.26666654466666934, 0.22222221422222127, 0.2000000399999961, 0.13333333533334224, 0.22222219622221911]","[0.2000000399999961, 0.2000000399999961, 0.16666661666667154, 0.06666664666666862, 0.19999984000001547]","[0.3333332333333431, 0.2000000399999961, 0.2000000399999961, 0.19999984000001547, 0.2000000399999961]","[0.22222223222222226, 0.2121212521212179, 0.21212125212121788, 0.12121209621211548, 0.2121212521212179]","[[0.22222223222222226, 0.22222223222222226, 0.21212125212121788, 0.12121209621211548, 0.2222221872222221], [0.2424241474242308, 0.2121212521212179, 0.21212125212121788, 0.12121209621211548, 0.2121212521212179]]",23,"[0.2121212521212179, 0.2121212521212179, 0.1515151015151443, 0.06060604060605772, 0.21212119712120994]","[0.3030302030302886, 0.2121212521212179, 0.2121212521212179, 0.21212119712120994, 0.2121212521212179]","[0.22222223222222226, 0.22222223222222226, 0.22222223222222226, 0.2222221872222221, 0.22222223222222226]","[0.22222221422222127, 0.22222225022222564, 0.22222221422222127, 0.22222219622221911, 0.22222221422222127]","[0.2424241474242308, 0.22222223222222226, 0.21212125212121788, 0.12121209621211548, 0.2222221872222221]","[0.22222221422222127, 0.22222221422222127, 0.11111112511111282, 0.11111110711111064, 0.22222219622221911]","[0.22222223222222226, 0.22222223222222226, 0.11111111611111113, 0.11111111611111113, 0.2222221872222221]","[[0.22222221422222127, 0.22222221422222127, 0.2000000399999961, 0.13333333533334224, 0.22222219622221911], [0.26666654466666934, 0.2000000399999961, 0.2000000399999961, 0.13333333533334224, 0.2000000399999961]]"
"[0.22222221936508002, 0.22222221936508002, 0.22222220650793645, 0.11111114825396706, 0.22222220650793645]","[0.22222221936508002, 0.22222221936508002, 0.22222220650793645, 0.11111114825396706, 0.22222220650793645]","[0.2222221936507947, 0.22222221936508002, 0.22222220650793645, 0.11111110968254001, 0.11111112253968175]","[0.22222221936508002, 0.2222222450793635, 0.22222221936508002, 0.2222221936507947, 0.22222220650793645]","[0.22222222888888873, 0.22222222888888876, 0.22222221388888908, 0.11111111444444437, 0.22222221388888908]","[[0.22222222888888873, 0.22222222888888876, 0.22222221388888908, 0.11111111444444437, 0.22222221388888908], [0.22222222888888876, 0.22222222888888876, 0.22222221388888908, 0.11111111444444437, 0.22222221388888908]]",24,"[0.2222221988888884, 0.22222222888888876, 0.22222221388888908, 0.11111111444444438, 0.1111111144444447]","[0.22222222888888876, 0.2222222288888894, 0.22222222888888876, 0.2222221988888884, 0.22222221388888908]","[0.22222222888888873, 0.22222222888888882, 0.22222221388888908, 0.22222221388888908, 0.22222221388888908]","[0.22222221936508002, 0.22222224507936472, 0.22222220650793645, 0.22222220650793642, 0.22222220650793642]","[0.22222222888888873, 0.22222222888888876, 0.22222221388888908, 0.11111111444444437, 0.22222221388888908]","[0.22222220650793642, 0.22222220650793642, 0.11111112253968236, 0.11111110968254001, 0.22222220650793642]","[0.22222221388888908, 0.22222221388888908, 0.11111111444444441, 0.11111111444444437, 0.22222221388888908]","[[0.22222221936508002, 0.22222221936508002, 0.22222220650793645, 0.11111114825396706, 0.22222220650793645], [0.22222221936508002, 0.22222221936508002, 0.22222220650793645, 0.11111114825396706, 0.22222220650793645]]"
"[0.23076922410256379, 0.20000001500000059, 0.2, 0.10769232769230846, 0.2]","[0.26666665666666634, 0.23076922410256384, 0.23076922410256384, 0.13333332833333317, 0.2]","[0.23076922410256379, 0.23076922410256384, 0.23076922410256384, 0.07692308192307713, 0.15384615301282045]","[0.23076922410256379, 0.2307692457692314, 0.23076922410256384, 0.15384615301282045, 0.23076922410256384]","[0.2307692241025642, 0.2, 0.20000001499999967, 0.10769232769230735, 0.2]","[[0.2666666566666671, 0.2, 0.20000001499999967, 0.13333332833333345, 0.2], [0.2307692241025642, 0.2307692241025642, 0.2307692241025642, 0.10769232769230735, 0.2]]",25,"[0.2307692241025642, 0.2307692241025642, 0.2307692241025642, 0.07692308192307687, 0.15384616384615374]","[0.2307692241025642, 0.2307692457692306, 0.2307692241025642, 0.15384616384615374, 0.2307692241025642]","[0.2666666566666669, 0.2, 0.20000001499999967, 0.2, 0.2]","[0.26666665666666634, 0.20000001500000059, 0.2, 0.2, 0.2]","[0.2666666566666671, 0.2307692241025642, 0.2307692241025642, 0.13333332833333345, 0.2]","[0.19999999999999996, 0.2, 0.2, 0.13333332833333317, 0.2]","[0.2, 0.2, 0.2, 0.13333332833333345, 0.2]","[[0.26666665666666634, 0.20000001500000059, 0.2, 0.13333332833333317, 0.2], [0.23076922410256379, 0.23076922410256384, 0.23076922410256384, 0.10769232769230846, 0.2]]"
"[0.20000001000000003, 0.24285716160714266, 0.19999998499999994, 0.14285713910714293, 0.20000001000000003]","[0.2142857042857145, 0.24285716160714266, 0.19999998499999994, 0.15714283339285737, 0.20000001000000003]","[0.2142857042857145, 0.2142857042857145, 0.14285714785714274, 0.07142857392857137, 0.14285713910714293]","[0.2142857042857145, 0.28571429571428547, 0.2142857217857141, 0.14285713910714293, 0.2142857042857145]","[0.2000000200000003, 0.2499999499999992, 0.2000000200000003, 0.12142863642857005, 0.2000000200000003]","[[0.2000000200000003, 0.2499999499999992, 0.2000000200000003, 0.1499999899999998, 0.2000000200000003], [0.21428571428571427, 0.2499999499999992, 0.2000000200000003, 0.12142863642857005, 0.2142856792857162]]",26,"[0.21428571428571427, 0.21428571428571427, 0.14285714285714285, 0.07142857142857142, 0.2142856792857162]","[0.21428571428571427, 0.2857142857142857, 0.21428571428571427, 0.2142856792857162, 0.21428571428571427]","[0.2000000200000003, 0.2999999799999996, 0.2000000200000003, 0.2000000200000003, 0.2000000200000003]","[0.20000001000000003, 0.2666666633333334, 0.19999998499999994, 0.19999998499999994, 0.20000001000000003]","[0.21428571428571427, 0.2499999499999992, 0.2000000200000003, 0.1499999899999998, 0.2142856792857162]","[0.19999998499999994, 0.20000001000000003, 0.1333333316666667, 0.1333333316666667, 0.19999998499999994]","[0.2000000200000003, 0.2000000200000003, 0.1499999899999998, 0.1499999899999998, 0.2000000200000003]","[[0.20000001000000003, 0.24285716160714266, 0.19999998499999994, 0.15714283339285737, 0.20000001000000003], [0.2142857042857145, 0.24285716160714266, 0.19999998499999994, 0.14285713910714293, 0.20000001000000003]]"
