解の非唯一性考慮のPerfectIncorporation_wᵁ_2,entani論文のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᵁ_1,entani論文のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ_2,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のPerfectIncorporation_wᵁ_1,Trial,解の非唯一性考慮のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᴸ_1,entani論文のPerfectIncorporation_wᴸ_2,解の非唯一性考慮のPerfectIncorporation_wᴸ_2,entani論文のPerfectIncorporation_wᴸ_1
"[0.20000001289682534, 0.2999999860416669, 0.20000000285714278, 0.20000000285714278, 0.20000000285714278]","[0.29999998500000186, 0.29999999142857053, 0.2, 0.2, 0.20000000000000004]","[0.299999993571429, 0.20000000285714278, 0.20000000285714278, 0.20000000285714278, 0.20000000285714278]","[0.2, 0.20000000000000004, 0.09999999500000062, 0.09999999714285684, 0.2]","[0.2000000114285721, 0.29999999142857053, 0.2, 0.2, 0.20000000000000004]","[0.299999993571429, 0.2999999860416669, 0.20000000285714278, 0.20000000285714278, 0.20000000285714278]","[0.29999998500000186, 0.20000001999999759, 0.2, 0.2, 0.2]",871,"[0.20000000285714278, 0.20000000285714278, 0.09999999785714299, 0.0999999953472223, 0.20000000285714278]","[0.20000000285714278, 0.20000000285714278, 0.09999999785714299, 0.19999998857142887, 0.20000000285714278]","[0.19999999999999998, 0.20000000000000004, 0.14999999571428527, 0.09999999714285684, 0.2]","[0.20000000285714278, 0.20000000285714278, 0.14999999302083344, 0.0999999953472223, 0.20000000285714278]","[0.2, 0.20000000000000004, 0.09999999500000062, 0.19999999999999987, 0.2]"
"[0.26666665904166703, 0.26666665904166703, 0.1333333867083306, 0.22222219680555674, 0.26666665904166703]","[0.2666666466666708, 0.2666666466666708, 0.29999986499998765, 0.2222222222222222, 0.2666666466666708]","[0.20000006099999382, 0.20000006099999382, 0.29999986275001395, 0.19999995933333747, 0.20000006099999382]","[0.2000000600000055, 0.19999995999999637, 0.1333333233333354, 0.06666668666666253, 0.1111111111111111]","[0.2666666466666708, 0.2666666466666708, 0.1333333733333251, 0.2222222222222222, 0.2666666466666708]","[0.26666665904166703, 0.26666665904166703, 0.29999986275001395, 0.22222219680555674, 0.26666665904166703]","[0.2000000600000055, 0.2000000600000055, 0.29999986499998765, 0.19999995999999637, 0.2000000600000055]",872,"[0.20000006099999382, 0.19999995933333747, 0.13333332952083352, 0.0666666933541653, 0.11111109840277837]","[0.20000006099999382, 0.19999995933333747, 0.20000006099999382, 0.09999995425000464, 0.19999995933333747]","[0.2666666466666708, 0.2666666466666708, 0.1333333233333354, 0.06666668666666252, 0.1111111111111111]","[0.26666665904166703, 0.26666665904166703, 0.13333332952083352, 0.0666666933541653, 0.11111109840277837]","[0.2000000600000055, 0.19999995999999637, 0.20000006000000553, 0.09999995499999588, 0.1999999599999963]"
"[0.22222223021637363, 0.2500000089934203, 0.22222223021637363, 0.22222219424269232, 0.22222223021637363]","[0.24999997999999998, 0.2499999799999998, 0.22222221222222222, 0.22222221222222222, 0.2499999799999998]","[0.26315783478070687, 0.26315783478070687, 0.1578947768128621, 0.1578947768128621, 0.26315783478070687]","[0.22222221222222222, 0.22222225722222239, 0.0833333183333332, 0.08333335333333342, 0.166666706666667]","[0.22222225722222255, 0.24999995499999958, 0.22222221222222222, 0.22222221222222222, 0.22222225722222239]","[0.26315783478070687, 0.26315783478070687, 0.22222223021637363, 0.22222219424269232, 0.26315783478070687]","[0.24999997999999998, 0.2499999799999998, 0.166666706666667, 0.166666706666667, 0.2499999799999998]",873,"[0.22222223021637363, 0.22222223021637363, 0.08333333633114011, 0.07894738840643105, 0.1578947768128621]","[0.26315783478070687, 0.26315783478070687, 0.13157891739035343, 0.07894738840643105, 0.1578947768128621]","[0.22222221222222222, 0.22222225722222239, 0.0833333183333332, 0.11111110611111102, 0.22222221222222222]","[0.22222223021637363, 0.22222223021637363, 0.08333333633114011, 0.11111111510818682, 0.22222219424269232]","[0.24999997999999998, 0.2499999799999998, 0.12499998999999999, 0.08333335333333342, 0.166666706666667]"
"[0.22222222849715112, 0.22222222849715112, 0.22222221908475778, 0.22222221908475778, 0.22222222849715112]","[0.23076922076923057, 0.23076922076923057, 0.23076925326923128, 0.222222214222224, 0.23076922076923057]","[0.23076922135683792, 0.23076922135683792, 0.23076925194711467, 0.21153847330395262, 0.23076922135683792]","[0.22222222622222132, 0.11538461038461528, 0.11111111311111066, 0.07692308442307709, 0.21153847403846174]","[0.22222222622222132, 0.22222222622222132, 0.222222214222224, 0.222222214222224, 0.22222222622222132]","[0.23076922135683792, 0.23076922135683792, 0.23076925194711467, 0.22222221908475778, 0.23076922135683792]","[0.23076922076923057, 0.23076922076923057, 0.23076925326923128, 0.21153847403846174, 0.23076922076923057]",874,"[0.22222222849715112, 0.11538461067841896, 0.11111111424857556, 0.07692308398237156, 0.21153847330395262]","[0.23076922135683792, 0.11538461067841896, 0.23076922135683792, 0.07692308398237156, 0.21153847330395262]","[0.22222222622222132, 0.222222214222224, 0.11111111311111066, 0.111111107111112, 0.222222214222224]","[0.22222222849715112, 0.22222221908475778, 0.11111111424857556, 0.11111110954237889, 0.22222221908475778]","[0.23076922076923057, 0.11538461038461528, 0.23076922076923057, 0.07692308442307709, 0.21153847403846174]"
"[0.2666666545333335, 0.2666666545333335, 0.1555555636444443, 0.1555555636444443, 0.2666666545333335]","[0.26666664266666673, 0.26666664266666756, 0.22222223222222343, 0.22222218722221884, 0.26666664266666706]","[0.2222222323333333, 0.2222222323333333, 0.2222222323333333, 0.22222218683333353, 0.2222222323333333]","[0.22222223222222343, 0.22222223222222248, 0.11111111611111209, 0.06666666066666668, 0.1555555715555555]","[0.26666664266666673, 0.2666666426666674, 0.1555555715555558, 0.1555555715555555, 0.26666664266666706]","[0.2666666545333335, 0.2666666545333335, 0.2222222323333333, 0.22222218683333353, 0.2666666545333335]","[0.22222223222222248, 0.22222223222222418, 0.22222223222222343, 0.22222218722221884, 0.22222223222222248]",875,"[0.2222222323333333, 0.2222222323333333, 0.11111111616666665, 0.06666666363333337, 0.1555555636444443]","[0.2222222323333333, 0.2222222323333333, 0.11111111616666665, 0.11111111616666665, 0.22222218683333353]","[0.26666664266666673, 0.2666666426666674, 0.13333332133333337, 0.06666666066666668, 0.1555555715555555]","[0.2666666545333335, 0.2666666545333335, 0.13333332726666675, 0.06666666363333337, 0.1555555636444443]","[0.22222223222222248, 0.22222223222222248, 0.11111111611111209, 0.11111111611111171, 0.222222187222219]"
"[0.2608695775854034, 0.29710142660067274, 0.20289854454063164, 0.20289854454063164, 0.20289854454063164]","[0.2971014367753644, 0.2608695452173955, 0.1847826099456509, 0.18478260994565088, 0.2608695452173957]","[0.2608695775854034, 0.2608695775854034, 0.15942028160973107, 0.15942028160973107, 0.2608695617818324]","[0.18478260994565077, 0.14855071838768225, 0.13043477260869762, 0.08695651507246538, 0.13043477260869765]","[0.2971014367753644, 0.2608695452173957, 0.18478260994565088, 0.18478260994565088, 0.18478262494565167]","[0.2608695775854034, 0.29710142660067274, 0.20289854454063164, 0.20289854454063164, 0.2608695617818324]","[0.2608695452173959, 0.26086954521739547, 0.15942030318840308, 0.15942030318840306, 0.26086954521739514]",876,"[0.20289854454063164, 0.1304347887927017, 0.1304347887927017, 0.08695652586180114, 0.14855071330033637]","[0.2608695617818324, 0.2608695617818324, 0.1304347887927017, 0.08695652586180114, 0.15942028160973107]","[0.18478260994565085, 0.14855071838768225, 0.18478260994565088, 0.13043477260869804, 0.13043477260869774]","[0.20289854454063164, 0.1304347887927017, 0.20289854454063164, 0.14855071330033637, 0.14855071330033637]","[0.26086954521739425, 0.2608695452173948, 0.13043477260869762, 0.08695651507246538, 0.1594203031884025]"
"[0.22222224867102403, 0.222222218916122, 0.222222218916122, 0.222222218916122, 0.222222218916122]","[0.23529412564705798, 0.23529410864705977, 0.23529412564705798, 0.22222222222222227, 0.23529410864705977]","[0.23529412558169932, 0.23529410872058829, 0.23529412558169932, 0.20588235988398682, 0.23529410872058829]","[0.22222222222222227, 0.11111112111111116, 0.22222222222222227, 0.058823531411764496, 0.2058823599411757]","[0.2222222422222223, 0.22222222222222227, 0.22222222222222227, 0.22222222222222227, 0.22222222222222182]","[0.23529412558169932, 0.23529410872058829, 0.23529412558169932, 0.222222218916122, 0.23529410872058829]","[0.23529412564705798, 0.23529410864705977, 0.23529412564705798, 0.2058823599411757, 0.23529410864705977]",877,"[0.222222218916122, 0.11111112433551201, 0.222222218916122, 0.05882353139542483, 0.20588235988398682]","[0.23529410872058829, 0.11764706279084966, 0.23529410872058829, 0.05882353139542483, 0.20588235988398682]","[0.22222222222222227, 0.11111112111111116, 0.22222222222222227, 0.11111111111111113, 0.22222222222222182]","[0.222222218916122, 0.11111112433551201, 0.222222218916122, 0.111111109458061, 0.222222218916122]","[0.23529410864705977, 0.11764706282352899, 0.23529410864705977, 0.058823531411764496, 0.2058823599411757]"
"[0.22222222575757591, 0.22222222575757591, 0.22222222575757591, 0.22222221780303014, 0.22222221780303014]","[0.22222221347222143, 0.2222222247222243, 0.22222222472221967, 0.22222221347222204, 0.22222222472222475]","[0.22222222575757591, 0.22222222575757591, 0.22222221780303014, 0.16666667329545465, 0.22222221780303014]","[0.22222221347222143, 0.22222222472222378, 0.1111111123611096, 0.11111111236110982, 0.1666666729166686]","[0.22222222472222136, 0.22222222472222358, 0.22222221722221852, 0.22222221347222204, 0.2222222247222248]","[0.22222222575757591, 0.22222222575757591, 0.22222221780303014, 0.22222221780303014, 0.22222221780303014]","[0.22222221347222137, 0.2222222247222243, 0.22222222472221975, 0.16666667291666515, 0.22222222472222475]",878,"[0.22222221780303014, 0.22222221780303014, 0.11111111287878796, 0.11111111287878796, 0.16666667329545465]","[0.22222221780303014, 0.22222221780303014, 0.22222221780303014, 0.11111111287878796, 0.16666667329545465]","[0.22222221347222418, 0.22222222472222358, 0.11111111236110831, 0.11111110861110982, 0.22222221347222204]","[0.22222221780303014, 0.22222221780303014, 0.11111111287878796, 0.11111111287878796, 0.22222221780303014]","[0.22222221347222137, 0.22222222472222378, 0.22222221597222105, 0.11111111236110982, 0.1666666729166686]"
"[0.2500000060833329, 0.2500000060833329, 0.2500000060833329, 0.12500000304166645, 0.2083333302916669]","[0.27777775177777564, 0.33333334533333436, 0.22222221555555619, 0.1666666726666671, 0.22222221555555638]","[0.305555519055556, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.1666666726666671, 0.22222221555555619, 0.1666666726666671, 0.055555557555555725, 0.1388888922222219]","[0.22222221555555607, 0.277777784444444, 0.22222221555555619, 0.1388888922222219, 0.22222221555555635]","[0.305555519055556, 0.3333333333333333, 0.2500000060833329, 0.16666666666666666, 0.2083333302916669]","[0.27777775177777564, 0.33333334533333436, 0.1666666726666671, 0.1666666726666671, 0.1666666726666671]",879,"[0.16666666666666666, 0.2500000060833329, 0.16666666666666666, 0.05555555555555555, 0.12500000304166645]","[0.16666666666666666, 0.305555519055556, 0.16666666666666666, 0.05555555555555555, 0.16666666666666666]","[0.22222221555555607, 0.22222221555555619, 0.22222221555555619, 0.11111110777777809, 0.1388888922222219]","[0.2083333302916669, 0.2500000060833329, 0.2083333302916669, 0.12500000304166645, 0.12500000304166645]","[0.1666666726666671, 0.27777775177777564, 0.1666666726666671, 0.055555557555555725, 0.1666666726666671]"
"[0.22222222222222224, 0.2222222222222222, 0.2222222222222222, 0.1851851902083332, 0.2222222222222222]","[0.22222222565079286, 0.222222217936508, 0.2777777746349191, 0.18518518804232864, 0.22222221793650734]","[0.22222222222222224, 0.22222222222222224, 0.2777777677314821, 0.1388889039583325, 0.22222222222222224]","[0.1851851880423274, 0.222222217936508, 0.222222217936508, 0.1111111128253964, 0.13888888731745958]","[0.22222223722221865, 0.22222221793650807, 0.22222221793651173, 0.1851851880423286, 0.22222221793650723]","[0.22222222222222224, 0.22222222222222224, 0.2777777677314821, 0.1851851902083332, 0.2222222222222222]","[0.22222222565079283, 0.22222221793650784, 0.2777777746349192, 0.1388888944603204, 0.22222222565079366]",880,"[0.1851851902083332, 0.22222222222222224, 0.2222222222222222, 0.11111111111111112, 0.13888888386574105]","[0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.11111111111111112, 0.13888888386574105]","[0.18518518804232853, 0.22222221793650712, 0.2222222179365081, 0.11111110896825319, 0.1851851880423287]","[0.1851851902083332, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.18518517513888916]","[0.222222217936508, 0.22222221793650784, 0.222222217936508, 0.1111111128253964, 0.13888888731745958]"
"[0.2121212140831391, 0.21212122703185768, 0.303030287334887, 0.2121212140831391, 0.2121212140831391]","[0.2000000400000013, 0.3555554355555529, 0.3333332333333301, 0.1999998399999947, 0.2000000400000013]","[0.2121212140831391, 0.32323237241129654, 0.2121212140831391, 0.20707069281403676, 0.2121212140831391]","[0.2000000400000013, 0.1999998399999947, 0.17777771777777646, 0.044444429444444114, 0.16666661666666505]","[0.2000000400000013, 0.20000004000000124, 0.3333332333333301, 0.1999998399999947, 0.2000000400000013]","[0.2121212140831391, 0.32323237241129654, 0.303030287334887, 0.2121212140831391, 0.2121212140831391]","[0.2000000400000013, 0.3555554355555529, 0.20000005500000045, 0.1999998249999948, 0.2000000400000013]",881,"[0.2121212140831391, 0.2121212140831391, 0.16161618620564827, 0.04040404655141207, 0.1515151436674435]","[0.2121212140831391, 0.2121212140831391, 0.16161618620564827, 0.04040404655141207, 0.20707069281403676]","[0.2000000400000013, 0.1999998399999947, 0.2000000400000013, 0.06666664666666602, 0.16666661666666505]","[0.2121212140831391, 0.2121212140831391, 0.2121212140831391, 0.060606057466977406, 0.1515151436674435]","[0.2000000400000013, 0.20000004000000132, 0.17777771777777646, 0.044444429444444114, 0.1999998249999948]"
"[0.23999998702222333, 0.2400000410962926, 0.23999998702222333, 0.20000000270370344, 0.23999998702222333]","[0.23999999647058826, 0.23999999647058826, 0.26666665333333345, 0.19999999833333337, 0.23999999647058815]","[0.2000000024333335, 0.2000000024333335, 0.26666666179999965, 0.2000000024333335, 0.2000000024333335]","[0.19999999833333337, 0.19999999833333337, 0.11999999823529413, 0.03999999941176471, 0.19999999833333337]","[0.23999999647058826, 0.23999999647058826, 0.240000011176471, 0.19999999833333337, 0.23999999647058815]","[0.23999998702222333, 0.2400000410962926, 0.26666666179999965, 0.20000000270370344, 0.23999998702222333]","[0.2000000066666666, 0.20000000666666667, 0.26666665333333345, 0.19999999833333337, 0.20000000666666662]",882,"[0.2000000024333335, 0.2000000024333335, 0.1200000205481463, 0.03999999783703722, 0.20000000270370344]","[0.2000000024333335, 0.2000000024333335, 0.19999998999629612, 0.13333333089999982, 0.2000000024333335]","[0.23999999647058826, 0.23999999647058815, 0.11999999823529413, 0.03999999941176471, 0.19999999833333337]","[0.23999998702222333, 0.23999998702222333, 0.1200000205481463, 0.03999999783703722, 0.20000000270370344]","[0.19999999833333337, 0.19999999833333337, 0.2000000066666665, 0.13333332666666672, 0.19999999833333337]"
"[0.2105263312922429, 0.3157893496620568, 0.2105263312922429, 0.2105263312922429, 0.2105263312922429]","[0.26666664666667095, 0.29999996399999806, 0.2000000160000009, 0.22222222222222232, 0.26666664666667095]","[0.2666666591140353, 0.2666666591140353, 0.13333338620175283, 0.22222219704678436, 0.2666666591140353]","[0.2000000160000009, 0.2000000160000009, 0.13333332333333547, 0.06666668666666238, 0.11111111111111116]","[0.20000001600000084, 0.29999996399999806, 0.2000000160000009, 0.19999993599999646, 0.20000001600000084]","[0.2666666591140353, 0.3157893496620568, 0.2105263312922429, 0.22222219704678436, 0.2666666591140353]","[0.26666664666667095, 0.26666664666667095, 0.13333337333332484, 0.22222222222222232, 0.26666664666667095]",883,"[0.2105263312922429, 0.2105263312922429, 0.13333332955701765, 0.06666669310087642, 0.11111109852339218]","[0.2666666591140353, 0.2666666591140353, 0.13333332955701765, 0.06666669310087642, 0.11111109852339218]","[0.20000001600000084, 0.20000001600000084, 0.14999998199999903, 0.09999998799999936, 0.19999993599999646]","[0.2105263312922429, 0.2105263312922429, 0.1578946748310284, 0.10526311655401892, 0.2105263312922429]","[0.26666664666667095, 0.26666664666667095, 0.13333332333333547, 0.06666668666666238, 0.11111111111111116]"
"[0.20000001971428535, 0.2999999802857146, 0.20000001971428535, 0.20000001971428535, 0.20000001971428535]","[0.2142857042857145, 0.28571429571428547, 0.2142857217857141, 0.20000001000000006, 0.2142857042857145]","[0.21428570689285717, 0.28571431035714284, 0.21428570689285717, 0.21428570689285717, 0.21428570689285717]","[0.20000001000000006, 0.20000001000000003, 0.14285714785714274, 0.07142857392857137, 0.20000001000000006]","[0.20000001000000003, 0.28571429571428547, 0.20000001000000006, 0.20000001000000006, 0.20000001000000003]","[0.21428570689285717, 0.2999999802857146, 0.21428570689285717, 0.21428570689285717, 0.21428570689285717]","[0.2142857042857145, 0.28571429571428547, 0.2142857217857141, 0.20000001000000006, 0.2142857042857145]",884,"[0.20000001971428535, 0.20000001971428535, 0.14285715517857142, 0.07142856896428573, 0.20000001971428535]","[0.21428570689285717, 0.21428570689285717, 0.14285715517857142, 0.07142856896428573, 0.21428570689285717]","[0.20000001000000003, 0.20000001000000003, 0.14285714785714274, 0.14285714785714274, 0.20000001000000003]","[0.20000001971428535, 0.20000001971428535, 0.1499999901428573, 0.1499999901428573, 0.20000001971428535]","[0.2142857042857145, 0.2142857042857145, 0.14285714785714274, 0.07142857392857137, 0.20000001000000006]"
"[0.23529411764705885, 0.23529411764705885, 0.23529411764705885, 0.1470588285367647, 0.23529411764705885]","[0.26923076153846137, 0.26923076153846137, 0.23529411764705882, 0.1538461523076922, 0.2692307615384612]","[0.27499997596470455, 0.27499997596470455, 0.1500000160235303, 0.1500000160235303, 0.27499997596470455]","[0.23529411764705882, 0.23529411764705882, 0.13461538076923069, 0.03846154307692321, 0.1470588285294116]","[0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.1470588285294116, 0.23529411764705882]","[0.27499997596470455, 0.27499997596470455, 0.23529411764705885, 0.1500000160235303, 0.27499997596470455]","[0.26923076153846137, 0.26923076153846137, 0.15384617230769285, 0.1538461523076922, 0.2692307615384612]",885,"[0.23529411764705885, 0.23529411764705885, 0.13749998798235227, 0.037500004005882576, 0.1470588285367647]","[0.27499997596470455, 0.27499997596470455, 0.13749998798235227, 0.037500004005882576, 0.1500000160235303]","[0.23529411764705882, 0.23529411764705882, 0.2352941076470591, 0.058823529411764705, 0.1470588285294116]","[0.23529411764705885, 0.23529411764705885, 0.2352941076323529, 0.05882352941176471, 0.1470588285367647]","[0.26923076153846137, 0.2692307615384612, 0.13461538076923069, 0.03846154307692321, 0.1538461523076922]"
"[0.22222222222222224, 0.2222222368055557, 0.22222222222222224, 0.22222220034722195, 0.22222222222222224]","[0.22222222222222224, 0.22222224222222453, 0.22222222222222224, 0.2222221922222186, 0.22222222222222224]","[0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.16666667152777775, 0.22222222222222224]","[0.22222222222222224, 0.22222222222222224, 0.11111112111111227, 0.11111111111111112, 0.16666667166666627]","[0.22222222222222227, 0.22222224222222453, 0.22222222222222224, 0.2222221922222186, 0.22222222222222224]","[0.22222222222222224, 0.2222222368055557, 0.22222222222222224, 0.22222220034722195, 0.22222222222222224]","[0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.16666667166666627, 0.22222222222222224]",886,"[0.22222222222222224, 0.22222222222222224, 0.11111111840277785, 0.11111111111111112, 0.16666667152777775]","[0.22222222222222224, 0.22222222222222224, 0.22222221249999993, 0.11111111111111112, 0.16666667152777775]","[0.22222222222222224, 0.22222222222222224, 0.11111112111111227, 0.11111111111111112, 0.2222221922222186]","[0.22222222222222224, 0.22222222222222224, 0.11111111840277785, 0.11111111111111112, 0.22222220034722195]","[0.22222222222222224, 0.22222222222222224, 0.22222221222222305, 0.11111111111111112, 0.16666667166666627]"
"[0.25, 0.25, 0.25, 0.25, 0.25]","[0.22222222222222224, 0.22222222222222185, 0.22222222222222227, 0.222222222222222, 0.2222222222222223]","[0.25, 0.25, 0.25, 0.25, 0.25]","[0.22222222222222218, 0.11111111111111115, 0.11111111111111072, 0.11111111111111119, 0.22222222222222188]","[0.22222222222222227, 0.22222222222222204, 0.22222222222222227, 0.222222222222222, 0.22222222222222227]","[0.25, 0.25, 0.25, 0.25, 0.25]","[0.2222222222222224, 0.2222222222222219, 0.2222222222222222, 0.22222222222222207, 0.22222222222222207]",887,"[0.25, 0.125, 0.125, 0.125, 0.25]","[0.25, 0.125, 0.125, 0.125, 0.25]","[0.22222222222222224, 0.11111111111111115, 0.11111110111111111, 0.11111111111111113, 0.22222222222222215]","[0.25, 0.125, 0.125, 0.125, 0.25]","[0.22222222222222218, 0.11111111111111115, 0.11111111111111072, 0.11111111111111119, 0.22222222222222188]"
"[0.23076923076923078, 0.23076923076923078, 0.21538460309890167, 0.23076923076923078, 0.23076923076923078]","[0.2962962542962976, 0.2962962542962975, 0.21538469538462196, 0.23076913076922256, 0.23076913076922229]","[0.34285714285714286, 0.34285714285714286, 0.17142857142857143, 0.17142859449381875, 0.17142859449381875]","[0.1851851791851855, 0.23076913076922229, 0.04938270904938292, 0.07407410407407314, 0.14814812714814876]","[0.230769130769223, 0.2307694557692487, 0.21538469538462218, 0.23076913076922229, 0.23076913076922229]","[0.34285714285714286, 0.34285714285714286, 0.21538460309890167, 0.23076923076923078, 0.23076923076923078]","[0.2962962542962976, 0.2962962542962975, 0.14814820814814628, 0.1851851791851855, 0.1851851791851855]",888,"[0.17142859449381875, 0.23076923076923078, 0.05714285714285714, 0.08571428571428572, 0.17142857142857143]","[0.17142859449381875, 0.34285714285714286, 0.05714285714285714, 0.08571428571428572, 0.17142857142857143]","[0.23076913076922229, 0.23076913076922229, 0.07692315192308274, 0.10769234769231109, 0.21538469538462252]","[0.23076923076923078, 0.23076923076923078, 0.07692307692307693, 0.10769230154945084, 0.21538460309890167]","[0.1851851791851855, 0.2962962542962975, 0.04938270904938292, 0.07407410407407314, 0.14814812714814876]"
"[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.2222222222222217, 0.2222222222222222, 0.22222221888888785, 0.2222222222222221, 0.22222222222222315]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.2222222222222217, 0.22222222222222163, 0.11111111111111105, 0.11111111111111116, 0.22222222222222315]","[0.22222222722222248, 0.22222222222222207, 0.2222222188888883, 0.22222222222222207, 0.22222222222222324]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.22222222222222165, 0.2222222222222222, 0.22222222222222177, 0.2222222222222222, 0.2222222222222232]",889,"[0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222]","[0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222]","[0.22222221888888755, 0.22222222222222163, 0.11111111111111482, 0.11111110944444429, 0.2222222188888877]","[0.2222222222222222, 0.2222222222222222, 0.11111111111111116, 0.1111111111111111, 0.2222222222222222]","[0.22222222222222165, 0.22222222222222163, 0.11111111111111105, 0.11111111111111116, 0.2222222222222232]"
"[0.23076924553418796, 0.23076922420702758, 0.23076922420702758, 0.1538461636894586, 0.23076922420702758]","[0.23076924576923105, 0.23076922410256404, 0.23076922410256406, 0.18518518210826238, 0.23076922410256404]","[0.22222222759129795, 0.22222222759129795, 0.22222222759129795, 0.18518518160580139, 0.22222222759129795]","[0.2222222268376067, 0.22222222683760667, 0.18518518210826238, 0.07692308192307702, 0.15384616384615396]","[0.23076924576923105, 0.23076922410256384, 0.230769224102564, 0.15384616384615396, 0.230769224102564]","[0.23076924553418796, 0.23076922420702758, 0.23076922420702758, 0.18518518160580139, 0.23076922420702758]","[0.22222222683760667, 0.22222222683760667, 0.2222222268376067, 0.18518518210826238, 0.22222222683760667]",890,"[0.22222222759129795, 0.22222222759129795, 0.18518518160580139, 0.07692308184472932, 0.1538461636894586]","[0.22222222759129795, 0.22222222759129795, 0.18518518160580139, 0.11111111379564897, 0.18518518160580139]","[0.23076922410256415, 0.23076922410256384, 0.23076922410256387, 0.07692308192307702, 0.15384616384615396]","[0.23076922420702758, 0.23076922420702758, 0.23076922420702758, 0.07692308184472932, 0.1538461636894586]","[0.22222222683760667, 0.22222222683760667, 0.18518518210826238, 0.11111111341880334, 0.18518518210826238]"
"[0.2222222190476189, 0.2222222476190488, 0.2222222190476189, 0.2222222190476189, 0.2222222190476189]","[0.23809531309523524, 0.23809520809523932, 0.2380952080952392, 0.22222221422222208, 0.2380952080952392]","[0.23809530952381203, 0.2380952095238085, 0.2380952095238085, 0.17460319365079432, 0.2380952095238085]","[0.22222221422222208, 0.17460319460317383, 0.11111112511111122, 0.047619062619047046, 0.17460319460317383]","[0.22222221422222208, 0.22222225022222244, 0.2222222142222222, 0.22222221422222208, 0.22222221422222208]","[0.23809530952381203, 0.2380952095238085, 0.2380952095238085, 0.2222222190476189, 0.2380952095238085]","[0.23809531309523524, 0.23809520809523932, 0.2380952080952392, 0.17460319460317383, 0.2380952080952392]",891,"[0.2222222190476189, 0.17460319365079432, 0.1111111238095244, 0.04761906190476241, 0.17460319365079432]","[0.2380952095238085, 0.17460319365079432, 0.2380952095238085, 0.04761906190476241, 0.17460319365079432]","[0.22222221422222208, 0.22222221422222208, 0.11111112511111122, 0.1111111071111111, 0.22222221422222208]","[0.2222222190476189, 0.2222222190476189, 0.1111111238095244, 0.11111110952380945, 0.2222222190476189]","[0.2380952080952392, 0.17460319460317383, 0.2380952080952392, 0.047619062619047046, 0.17460319460317383]"
"[0.2222222242367149, 0.2222222242367149, 0.2222222242367149, 0.2222222242367149, 0.2222222242367149]","[0.26086954807453344, 0.2608695973602497, 0.26086954807453344, 0.22222222472222225, 0.26086954807453355]","[0.26086955829257236, 0.26086957277173944, 0.2608695727717394, 0.1304347863858697, 0.26086955829257236]","[0.22222222472222225, 0.22222222472222228, 0.08695653245341657, 0.08695651602484449, 0.13043477403726675]","[0.22222222472222225, 0.22222222472222225, 0.22222221722222216, 0.22222222472222225, 0.22222222472222225]","[0.26086955829257236, 0.26086957277173944, 0.2608695727717394, 0.2222222242367149, 0.26086955829257236]","[0.26086954807453344, 0.2608695973602497, 0.26086954807453344, 0.1304347740372668, 0.26086954807453355]",892,"[0.2222222242367149, 0.2222222242367149, 0.08695652425724647, 0.08695652425724645, 0.1304347863858697]","[0.26086955829257236, 0.26086955829257236, 0.08695652425724647, 0.08695652425724645, 0.1304347863858697]","[0.22222222472222225, 0.22222222472222225, 0.11111111236111113, 0.11111110861111108, 0.22222221347222218]","[0.2222222242367149, 0.2222222242367149, 0.11111111211835745, 0.11111111211835745, 0.22222221517149773]","[0.26086954807453344, 0.26086954807453355, 0.08695653245341657, 0.08695651602484449, 0.13043477403726675]"
